---------------------------------------------------
                  Tie Point Pixel Residuals        
===================================================
PointId    Av.      Dev.        Nb.Obs.     State  
===================================================
0           890.09  1115.37     (24/24)      Used -
1           782.43  1075.60     (21/21)      Used -
2          1211.38  1096.80     (21/21)      Used -
3           809.77  1092.81     (19/19)      Used -
4          1282.98  1230.27     (18/18)      Used -
5           675.16   823.05     (17/17)      Used -
6           665.08   898.72     (17/17)      Used -
7          1193.98  1215.24     (17/17)      Used -
8          1023.92  1172.45     (16/16)      Used -
9          1446.34   214.25     (16/16)      Used -
10         1168.74  1161.79     (16/16)      Used -
11         1542.33  1457.17     (15/15)      Used -
12         1347.55  1362.23     (15/15)      Used -
13          624.58   846.14     (15/15)      Used -
14          875.19   550.86     (15/15)      Used -
15         1124.92  1097.78     (15/15)      Used -
16          955.32  1146.20     (15/15)      Used -
17          818.09   896.35     (15/15)      Used -
18          670.39   508.42     (14/14)      Used -
19          633.75   689.40     (14/14)      Used -
20         1068.15  1049.50     (14/14)      Used -
21         1125.81  1272.78     (14/14)      Used -
22         1031.83  1021.05     (14/14)      Used -
23         1393.04   464.12     (14/14)      Used -
24         1507.94  1508.49     (14/14)      Used -
25          831.74   967.42     (14/14)      Used -
26         1217.72   799.27     (13/13)      Used -
27         1070.20  1145.58     (13/13)      Used -
28          552.78   850.38     (13/13)      Used -
29         1039.10   644.01     (13/13)      Used -
30          728.16   711.33     (13/13)      Used -
31         1017.73   889.61     (13/13)      Used -
32          866.75   689.72     (13/13)      Used -
33          990.03  1160.05     (13/13)      Used -
34          529.73   380.00     (13/13)      Used -
35         1200.73  1144.77     (13/13)      Used -
36         1199.88  1239.45     (13/13)      Used -
37          460.28   749.80     (13/13)      Used -
38         1076.53   947.16     (13/13)      Used -
39         1477.25   888.33     (13/13)      Used -
40         1390.80   338.24     (12/12)      Used -
41          453.01   494.67     (12/12)      Used -
42         1041.77  1275.10     (12/12)      Used -
43          636.44   506.85     (12/12)      Used -
44          773.24   249.90     (12/12)      Used -
45          933.49   298.18     (12/12)      Used -
46         1317.01  1180.53     (12/12)      Used -
47          744.47   936.70     (12/12)      Used -
48         1007.21  1580.89     (12/12)      Used -
49         1112.83  1028.74     (12/12)      Used -
50         1608.69   710.85     (12/12)      Used -
51         1311.01  1203.47     (12/12)      Used -
52          926.65  1115.32     (12/12)      Used -
53          818.01  1013.81     (12/12)      Used -
54          820.47  1193.52     (11/11)      Used -
55          454.13   303.59     (11/11)      Used -
56          551.85   399.64     (11/11)      Used -
57         1146.41   599.93     (11/11)      Used -
58          907.89   833.72     (11/11)      Used -
59         1040.80  1047.97     (11/11)      Used -
60          719.75   692.42     (11/11)      Used -
61          750.38   903.49     (11/11)      Used -
62          734.34   848.02     (11/11)      Used -
63          437.09   642.43     (11/11)      Used -
64         1297.47  1329.21     (11/11)      Used -
65         1029.79  1122.26     (11/11)      Used -
66         1234.63  1178.54     (11/11)      Used -
67          789.39   530.00     (11/11)      Used -
68         1131.61  1230.62     (11/11)      Used -
69          937.61  1207.46     (11/11)      Used -
70          949.76   911.47     (11/11)      Used -
71         1052.02   451.82     (11/11)      Used -
72          878.61   550.20     (11/11)      Used -
73         1056.35   658.47     (10/10)      Used -
74          602.66   425.55     (10/10)      Used -
75          708.27   489.30     (10/10)      Used -
76          843.23   936.32     (10/10)      Used -
77         1451.36  1214.03     (10/10)      Used -
78          451.75   464.15     (10/10)      Used -
79          987.29   460.08     (10/10)      Used -
80          901.97  1255.92     (10/10)      Used -
81         1265.14  1200.99     (10/10)      Used -
82          592.00   798.90     (10/10)      Used -
83          656.81   847.80     (10/10)      Used -
84          839.57  1506.00     (10/10)      Used -
85          752.62  1077.93     (10/10)      Used -
86          803.47  1206.23     (10/10)      Used -
87          388.43   344.15     (10/10)      Used -
88         1384.27  1318.60     (10/10)      Used -
89          531.86   584.15     (10/10)      Used -
90          575.97   970.40     (10/10)      Used -
91          809.66  1203.67     (10/10)      Used -
92          387.11   296.67     (10/10)      Used -
93         1521.51  1481.80     (10/10)      Used -
94          292.95   609.19     (10/10)      Used -
95          792.37   475.23     (10/10)      Used -
96         1419.65  1154.28     (10/10)      Used -
97          806.28   767.95     (10/10)      Used -
98          553.73   969.03     (10/10)      Used -
99         1159.91  1215.25     (10/10)      Used -
100         482.98   677.06     (10/10)      Used -
101         466.10   879.82     (10/10)      Used -
102        1099.84  1090.41     (10/10)      Used -
103         841.88   982.01     (10/10)      Used -
104        1281.65   714.21     (10/10)      Used -
105        1208.70  1397.61     (10/10)      Used -
106        1168.20   809.77     (10/10)      Used -
107        1105.88  1558.67     (10/10)      Used -
108         750.90   920.03     (10/10)      Used -
109         657.15   710.37     (10/10)      Used -
110         724.85  1001.79     (10/10)      Used -
111        1382.51  1546.61     ( 9/ 9)      Used -
112        1066.70   258.95     ( 9/ 9)      Used -
113         911.86  1497.26     ( 9/ 9)      Used -
114         508.78   586.19     ( 9/ 9)      Used -
115         858.24   679.45     ( 9/ 9)      Used -
116          62.01    37.45     ( 9/ 9)      Used -
117         604.34   686.30     ( 9/ 9)      Used -
118        1035.62   615.39     ( 9/ 9)      Used -
119         868.15  1206.81     ( 9/ 9)      Used -
120        1374.41  1675.13     ( 9/ 9)      Used -
121         941.27   929.62     ( 9/ 9)      Used -
122         828.04   878.60     ( 9/ 9)      Used -
123        1116.71   654.81     ( 9/ 9)      Used -
124        1158.56   711.86     ( 9/ 9)      Used -
125         816.25   934.41     ( 9/ 9)      Used -
126         602.82   988.00     ( 9/ 9)      Used -
127         853.34  1468.82     ( 9/ 9)      Used -
128          75.81    38.23     ( 9/ 9)      Used -
129        1193.43  1309.41     ( 9/ 9)      Used -
130         632.54   940.24     ( 9/ 9)      Used -
131         112.97    37.48     ( 9/ 9)      Used -
132        1345.88   641.51     ( 9/ 9)      Used -
133        1087.06  1150.11     ( 9/ 9)      Used -
134        1197.40   426.49     ( 9/ 9)      Used -
135         664.59   437.76     ( 9/ 9)      Used -
136          89.72    47.71     ( 9/ 9)      Used -
137         104.55    37.37     ( 9/ 9)      Used -
138          53.56    35.90     ( 9/ 9)      Used -
139          74.50    39.89     ( 9/ 9)      Used -
140          81.34    48.88     ( 9/ 9)      Used -
141         588.09   948.52     ( 9/ 9)      Used -
142          71.52    40.53     ( 9/ 9)      Used -
143        1622.63   841.26     ( 9/ 9)      Used -
144         821.58  1162.39     ( 9/ 9)      Used -
145         103.98    36.91     ( 9/ 9)      Used -
146         109.32    41.87     ( 9/ 9)      Used -
147        1147.01   517.50     ( 9/ 9)      Used -
148        1269.03   550.14     ( 9/ 9)      Used -
149         353.35   267.44     ( 9/ 9)      Used -
150        1237.61   708.65     ( 9/ 9)      Used -
151        1116.82   770.55     ( 9/ 9)      Used -
152         762.99   668.68     ( 9/ 9)      Used -
153         872.13  1103.64     ( 9/ 9)      Used -
154         595.73   385.09     ( 9/ 9)      Used -
155         841.91   582.22     ( 9/ 9)      Used -
156         176.57   211.33     ( 9/ 9)      Used -
157         605.24   826.42     ( 8/ 8)      Used -
158          92.22    44.78     ( 8/ 8)      Used -
159         496.67  1028.68     ( 8/ 8)      Used -
160          68.20    36.91     ( 8/ 8)      Used -
161          83.93    41.14     ( 8/ 8)      Used -
162          79.73    38.25     ( 8/ 8)      Used -
163          79.06    49.79     ( 8/ 8)      Used -
164          88.87    51.34     ( 8/ 8)      Used -
165          97.80    53.03     ( 8/ 8)      Used -
166         100.23    32.86     ( 8/ 8)      Used -
167          37.63    32.29     ( 8/ 8)      Used -
168         106.63    38.71     ( 8/ 8)      Used -
169          56.18    34.13     ( 8/ 8)      Used -
170         105.19    41.73     ( 8/ 8)      Used -
171          87.19    42.89     ( 8/ 8)      Used -
172          60.10    36.82     ( 8/ 8)      Used -
173          94.16    39.20     ( 8/ 8)      Used -
174          45.65    26.10     ( 8/ 8)      Used -
175          52.46    30.67     ( 8/ 8)      Used -
176         103.63    35.07     ( 8/ 8)      Used -
177          95.35    29.79     ( 8/ 8)      Used -
178          97.25    34.42     ( 8/ 8)      Used -
179         300.25   572.80     ( 8/ 8)      Used -
180        1233.84  1530.43     ( 8/ 8)      Used -
181        1163.10   697.52     ( 8/ 8)      Used -
182          93.01    52.09     ( 8/ 8)      Used -
183          84.70    43.98     ( 8/ 8)      Used -
184          73.49    43.73     ( 8/ 8)      Used -
185          91.03    56.50     ( 8/ 8)      Used -
186          80.87    46.41     ( 8/ 8)      Used -
187          85.53    52.78     ( 8/ 8)      Used -
188         630.31   534.24     ( 8/ 8)      Used -
189         931.40   406.93     ( 8/ 8)      Used -
190        1428.89  1101.79     ( 8/ 8)      Used -
191          30.16    27.31     ( 8/ 8)      Used -
192          37.80    31.76     ( 8/ 8)      Used -
193          44.16    26.94     ( 8/ 8)      Used -
194          52.34    24.76     ( 8/ 8)      Used -
195         931.05  1490.64     ( 8/ 8)      Used -
196         363.73   769.62     ( 8/ 8)      Used -
197         954.33   718.67     ( 8/ 8)      Used -
198        1414.13   654.74     ( 8/ 8)      Used -
199         423.56   484.15     ( 8/ 8)      Used -
200        1203.47   629.85     ( 8/ 8)      Used -
201         493.41   999.27     ( 8/ 8)      Used -
202         541.54   870.11     ( 8/ 8)      Used -
203         518.40   767.99     ( 8/ 8)      Used -
204          51.56    30.02     ( 8/ 8)      Used -
205          93.95    43.42     ( 8/ 8)      Used -
206          55.02    32.63     ( 8/ 8)      Used -
207          62.93    35.41     ( 8/ 8)      Used -
208          65.65    38.16     ( 8/ 8)      Used -
209        1491.74   884.63     ( 8/ 8)      Used -
210         740.22   862.73     ( 8/ 8)      Used -
211          62.71    34.36     ( 8/ 8)      Used -
212          95.14    38.78     ( 8/ 8)      Used -
213         120.40    30.22     ( 8/ 8)      Used -
214        1299.41  1294.47     ( 8/ 8)      Used -
215          98.40    32.48     ( 8/ 8)      Used -
216          59.85    33.31     ( 8/ 8)      Used -
217          56.76    34.96     ( 8/ 8)      Used -
218          98.33    31.44     ( 8/ 8)      Used -
219          97.73    41.33     ( 8/ 8)      Used -
220          97.57    34.42     ( 8/ 8)      Used -
221          87.59    35.10     ( 8/ 8)      Used -
222         700.68   635.16     ( 8/ 8)      Used -
223          85.12    38.48     ( 8/ 8)      Used -
224          82.07    38.05     ( 8/ 8)      Used -
225          89.78    44.25     ( 8/ 8)      Used -
226        1558.01  1733.78     ( 8/ 8)      Used -
227          83.65    42.74     ( 8/ 8)      Used -
228         564.06   498.91     ( 8/ 8)      Used -
229         839.41   725.56     ( 8/ 8)      Used -
230          39.33    30.89     ( 8/ 8)      Used -
231         815.29   407.63     ( 8/ 8)      Used -
232          58.56    38.79     ( 8/ 8)      Used -
233         751.59   994.80     ( 8/ 8)      Used -
234         498.93   525.81     ( 8/ 8)      Used -
235          30.51    26.42     ( 8/ 8)      Used -
236        1097.71   533.89     ( 8/ 8)      Used -
237          57.98    33.78     ( 8/ 8)      Used -
238         694.50  1071.09     ( 8/ 8)      Used -
239         706.63   811.13     ( 8/ 8)      Used -
240        1750.19   590.51     ( 8/ 8)      Used -
241          86.47    47.97     ( 8/ 8)      Used -
242          53.02    32.35     ( 8/ 8)      Used -
243         100.32    32.84     ( 8/ 8)      Used -
244        1177.17   797.28     ( 8/ 8)      Used -
245         890.12  1055.26     ( 8/ 8)      Used -
246         918.75  1249.51     ( 8/ 8)      Used -
247          71.58    37.65     ( 8/ 8)      Used -
248          73.06    42.73     ( 8/ 8)      Used -
249         919.48   584.07     ( 8/ 8)      Used -
250         618.05   434.53     ( 8/ 8)      Used -
251         101.78    33.99     ( 8/ 8)      Used -
252          92.04    51.09     ( 8/ 8)      Used -
253         964.92   707.04     ( 8/ 8)      Used -
254         406.67   849.33     ( 8/ 8)      Used -
255          53.78    33.80     ( 8/ 8)      Used -
256          94.56    52.41     ( 8/ 8)      Used -
257        1634.84   513.39     ( 8/ 8)      Used -
258        1183.87  1423.39     ( 8/ 8)      Used -
259          64.18    35.28     ( 8/ 8)      Used -
260        1208.16   637.24     ( 8/ 8)      Used -
261         673.45   544.67     ( 8/ 8)      Used -
262          62.49    36.84     ( 8/ 8)      Used -
263          60.53    33.36     ( 8/ 8)      Used -
264          83.41    40.28     ( 8/ 8)      Used -
265        1236.08  1436.98     ( 8/ 8)      Used -
266         110.47    44.12     ( 8/ 8)      Used -
267         757.15  1205.07     ( 8/ 8)      Used -
268         694.02   932.81     ( 8/ 8)      Used -
269        1417.43   719.33     ( 8/ 8)      Used -
270          56.94    36.82     ( 8/ 8)      Used -
271        1480.45   893.48     ( 8/ 8)      Used -
272         899.87  1046.09     ( 8/ 8)      Used -
273        1013.07  1632.80     ( 8/ 8)      Used -
274         247.40   397.14     ( 8/ 8)      Used -
275          51.19    32.11     ( 8/ 8)      Used -
276          67.53    39.48     ( 8/ 8)      Used -
