-----------------------------------------------------
                   Tie Point Pixel Residuals         
=====================================================
PointId    Av.     Dev.       Nb.Obs.         State  
=====================================================
0            0.50    0.29     (17/24)          Used  
1            0.55    0.40     (16/21)          Used  
2            0.58    0.29     (15/21)          Used  
3            0.70    0.35     (13/19)          Used  
4            0.53    0.34     (12/18)          Used  
5            0.60    0.41     (12/17)          Used  
6            0.52    0.40     (12/17)          Used  
7            0.28    0.13     ( 9/17)          Used  
8            0.65    0.28     (12/16)          Used  
9            0.78    0.45     (16/16)          Used  
10           2.31    5.21     (11/16)          Used -
11           0.05    0.04     ( 2/15)          Used +
12           0.94    0.57     ( 8/15)          Used  
13           0.65    0.50     (10/15)          Used  
14           0.62    0.33     ( 9/15)          Used  
15         212.26   78.39     ( 2/15)          Used -
16           0.66    0.40     (13/15)          Used  
17           0.55    0.30     (15/15)          Used  
18           1.15    0.97     (12/14)          Used -
19           1.42    2.04     ( 8/14)          Used -
20           0.49    0.30     (14/14)          Used  
21           1.24    0.51     (14/14)          Used -
22           0.90    0.76     ( 7/14)          Used  
23           0.63    0.27     (14/14)          Used  
24           1.14    0.89     ( 7/14)          Used -
25           0.65    0.38     (12/14)          Used  
26           0.52    0.34     (11/13)          Used  
27           0.67    0.35     (13/13)          Used  
28           0.97    0.52     ( 9/13)          Used  
29           0.38    0.26     ( 8/13)          Used  
30           2.30    2.27     ( 6/13)          Used -
31           0.49    0.23     ( 7/13)          Used  
32           0.88    0.52     (11/13)          Used  
33           0.43    0.22     (13/13)          Used  
34         168.97  119.59     ( 6/13)          Used -
35           0.75    0.39     ( 7/13)          Used  
36           0.60    0.38     (13/13)          Used  
37           0.81    0.41     ( 9/13)          Used  
38           0.89    0.72     (11/13)          Used  
39           0.47    0.15     ( 7/13)          Used  
40           0.77    0.51     (12/12)          Used  
41           3.43    6.36     ( 8/12)          Used -
42           1.90    1.46     ( 8/12)          Used -
43         156.20  125.99     ( 5/12)          Used -
44           0.55    0.47     (11/12)          Used  
45           0.51    0.25     ( 7/12)          Used  
46           0.40    0.32     ( 6/12)          Used  
47           0.55    0.44     ( 9/12)          Used  
48           0.70    0.91     ( 9/12)          Used  
49           1.01    0.51     (12/12)          Used -
50           1.05    0.75     (12/12)          Used -
51           1.23    0.91     ( 6/12)          Used -
52           0.68    0.43     ( 9/12)          Used  
53           6.21   12.84     (10/12)          Used -
54           0.72    0.31     (11/11)          Used  
55           0.58    0.25     ( 7/11)          Used  
56         127.58  100.35     ( 5/11)          Used -
57           0.46    0.35     ( 7/11)          Used  
58           1.15    0.85     ( 8/11)          Used -
59           0.48    0.28     (11/11)          Used  
60         151.41  121.62     ( 4/11)          Used -
61           0.91    0.47     ( 7/11)          Used  
62           0.41    0.34     (11/11)          Used  
63           0.71    0.45     ( 8/11)          Used  
64           1.72    1.92     ( 6/11)          Used -
65           0.84    0.43     ( 8/11)          Used  
66           2.45    1.42     (11/11)          Used -
67           0.60    0.35     ( 6/11)          Used  
68           0.82    0.46     (11/11)          Used  
69           0.95    0.44     (11/11)          Used  
70           1.12    0.82     ( 6/11)          Used -
71           0.53    0.23     ( 7/11)          Used  
72           0.39    0.16     ( 9/11)          Used  
73         224.13   85.40     ( 5/10)          Used -
74         174.40   60.11     ( 5/10)          Used -
75           0.38    0.16     ( 3/10)          Used  
76           3.26    7.68     (10/10)          Used -
77           1.98    0.36     (10/10)          Used -
78           0.35    0.16     (10/10)          Used  
79           0.55    0.37     (10/10)          Used  
80           0.43    0.26     ( 7/10)          Used  
81           1.32    0.90     ( 7/10)          Used -
82           0.66    0.65     ( 7/10)          Used  
83           2.60    3.49     ( 7/10)          Used -
84           0.86    0.42     (10/10)          Used  
85          12.70   11.49     ( 5/10)          Used -
86           0.79    0.62     ( 7/10)          Used  
87         158.70  108.84     ( 6/10)          Used -
88           3.02    0.99     (10/10)          Used -
89          18.42   43.17     ( 7/10)          Used -
90           1.61    1.34     ( 8/10)          Used -
91           0.98    0.40     (10/10)          Used  
92         157.51  106.71     ( 6/10)          Used -
93           2.07    1.98     ( 6/10)          Used -
94           0.53    0.41     ( 8/10)          Used  
95           0.44    0.14     ( 5/10)          Used  
96           9.65   17.64     ( 5/10)          Used -
97          59.49  154.82     ( 8/10)          Used -
98           0.45    0.22     (10/10)          Used  
99           3.56    2.17     (10/10)          Used -
100          0.74    0.53     ( 8/10)          Used  
101          0.54    0.38     (10/10)          Used  
102          0.87    0.53     ( 7/10)          Used  
103          0.55    0.40     (10/10)          Used  
104          0.73    0.37     ( 6/10)          Used  
105          1.25    0.65     ( 6/10)          Used -
106          0.47    0.35     ( 5/10)          Used  
107          0.71    0.54     (10/10)          Used  
108          0.63    0.55     ( 7/10)          Used  
109          0.70    0.33     (10/10)          Used  
110          0.64    0.47     ( 8/10)          Used  
111          1.66    1.49     ( 6/ 9)          Used -
112          0.66    0.28     ( 9/ 9)          Used  
113          1.44    1.75     ( 7/ 9)          Used -
114          6.01    5.34     ( 6/ 9)          Used -
115          0.59    0.29     ( 8/ 9)          Used  
116          0.51    0.34     ( 9/ 9)          Used  
117          0.74    0.60     ( 6/ 9)          Used  
118          0.72    0.50     ( 5/ 9)          Used  
119          1.18    0.80     ( 6/ 9)          Used -
120          1.59    1.54     ( 6/ 9)          Used -
121          0.23    0.08     ( 5/ 9)          Used  
122          0.59    0.33     ( 7/ 9)          Used  
123          1.00    0.56     ( 9/ 9)          Used  
124          1.03    0.68     ( 9/ 9)          Used -
125          0.43    0.30     ( 9/ 9)          Used  
126          0.58    0.20     ( 9/ 9)          Used  
127          0.52    0.31     ( 9/ 9)          Used  
128         15.30    9.29     ( 9/ 9)          Used -
129          1.06    1.00     ( 7/ 9)          Used -
130         71.03  171.38     ( 7/ 9)          Used -
131          0.43    0.37     ( 9/ 9)          Used  
132          0.44    0.37     ( 5/ 9)          Used  
133          0.85    0.72     ( 6/ 9)          Used  
134          0.57    0.31     ( 9/ 9)          Used  
135          3.35    3.89     ( 7/ 9)          Used -
136          0.50    0.38     ( 9/ 9)          Used  
137          0.26    0.11     ( 9/ 9)          Used  
138          0.56    0.59     ( 9/ 9)          Used  
139          0.38    0.26     ( 9/ 9)          Used  
140          0.84    0.76     ( 9/ 9)          Used  
141          1.80    1.78     ( 7/ 9)          Used -
142          0.65    0.44     ( 9/ 9)          Used  
143          9.67    8.20     ( 5/ 9)          Used -
144         11.58   27.04     ( 7/ 9)          Used -
145          0.44    0.25     ( 9/ 9)          Used  
146          0.42    0.28     ( 9/ 9)          Used  
147          7.54    4.97     ( 4/ 9)          Used -
148          4.79    6.04     ( 5/ 9)          Used -
149        141.16   84.65     ( 6/ 9)          Used -
150          1.39    0.76     ( 6/ 9)          Used -
151          1.42    1.16     ( 7/ 9)          Used -
152          0.32    0.16     ( 7/ 9)          Used  
153          0.35    0.28     ( 9/ 9)          Used  
154          0.39    0.07     ( 5/ 9)          Used  
155        102.27  227.53     ( 6/ 9)          Used -
156          1.04    0.65     ( 7/ 9)          Used -
157          2.15    1.56     ( 6/ 8)          Used -
158          1.58    1.82     ( 8/ 8)          Used -
159          0.64    0.43     ( 8/ 8)          Used  
160          0.48    0.53     ( 8/ 8)          Used  
161          0.40    0.23     ( 8/ 8)          Used  
162          2.71    5.90     ( 8/ 8)          Used -
163          0.96    0.97     ( 8/ 8)          Used  
164          0.42    0.15     ( 8/ 8)          Used  
165          0.61    0.43     ( 8/ 8)          Used  
166          0.26    0.14     ( 8/ 8)          Used  
167          0.48    0.30     ( 8/ 8)          Used  
168          8.45    6.59     ( 8/ 8)          Used -
169          0.52    0.37     ( 8/ 8)          Used  
170          0.65    0.32     ( 8/ 8)          Used  
171          0.77    0.86     ( 8/ 8)          Used  
172          3.62    1.77     ( 8/ 8)          Used -
173          0.30    0.14     ( 8/ 8)          Used  
174          0.57    0.27     ( 8/ 8)          Used  
175          0.93    0.61     ( 8/ 8)          Used  
176          0.37    0.29     ( 8/ 8)          Used  
177          0.36    0.16     ( 8/ 8)          Used  
