---------------------------------------------------- beginning of /proc/kmsg
====================== ULOGCAT SESSION START  ======================
K 01-01 00:00:00.000 I KERNEL                                       : Booting Linux on physical CPU 0
K 01-01 00:00:00.000 I KERNEL                                       : Initializing cgroup subsys cpu
K 01-01 00:00:00.000 N KERNEL                                       : Linux version 3.4.11-02453-g7f9e809 (jenkins@fr-pm-intc11-prd) (gcc version 4.6.3 (Sourcery CodeBench Lite 2012.03-57) ) #1 SMP PREEMPT Tue Jun 14 18:41:35 CEST 2016
K 01-01 00:00:00.000 W KERNEL                                       : CPU: ARMv7 Processor [412fc097] revision 7 (ARMv7), cr=10c53c7d
K 01-01 00:00:00.000 W KERNEL                                       : CPU: PIPT / VIPT nonaliasing data cache, VIPT aliasing instruction cache
K 01-01 00:00:00.000 W KERNEL                                       : Machine: Sicilia board
K 01-01 00:00:00.000 I KERNEL                                       : P7 per device DMA memory regions:
K 01-01 00:00:00.000 I KERNEL                                       : 	bff00000:bfffffff: ramoops.0
K 01-01 00:00:00.000 I KERNEL                                       : 	00000000:0b63ffff: avicam.0
K 01-01 00:00:00.000 I KERNEL                                       : 	00000000:0bbfffff: hx280-venc.0
K 01-01 00:00:00.000 I KERNEL                                       : 	bfe00000:bfefffff: ci_hdrc.0
K 01-01 00:00:00.000 I KERNEL                                       : 	bfd00000:bfdfffff: ci_hdrc.1
K 01-01 00:00:00.000 W KERNEL                                       : Memory policy: ECC disabled, Data cache writealloc
K 01-01 00:00:00.000 D KERNEL                                       : On node 0 totalpages: 166400
K 01-01 00:00:00.000 D KERNEL                                       : free_area_init_node: node 0, pgdat 8090ec80, node_mem_map 80ec9000
K 01-01 00:00:00.000 D KERNEL                                       :   Normal zone: 2048 pages used for memmap
K 01-01 00:00:00.000 D KERNEL                                       :   Normal zone: 0 pages reserved
K 01-01 00:00:00.000 D KERNEL                                       :   Normal zone: 164352 pages, LIFO batch:31
K 01-01 00:00:00.000 I KERNEL                                       : PERCPU: Embedded 8 pages/cpu @816d7000 s12160 r8192 d12416 u32768
K 01-01 00:00:00.000 D KERNEL                                       : pcpu-alloc: s12160 r8192 d12416 u32768 alloc=8*4096
K 01-01 00:00:00.000 D KERNEL                                       : pcpu-alloc: [0] 0 [0] 1 
K 01-01 00:00:00.000 W KERNEL                                       : Built 1 zonelists in Zone order, mobility grouping on.  Total pages: 164352
K 01-01 00:00:00.000 N KERNEL                                       : Kernel command line:  boxinit.serialno=P742P44U110000214260  calib=0x001C003A console=ttyPA0,115200 loglevel=8 root=/dev/mmcblk0p4 rootfstype=ext4 rootwait parrot_force_usbd boxinit.debuggable=0 boxinit.application=PA_SICILIA boxinit.plateform=PTA_P7 androidboot.bootloader=ecos-bootloader-p7-start-344-g5f4bbf8 
K 01-01 00:00:00.000 I KERNEL                                       : PID hash table entries: 4096 (order: 2, 16384 bytes)
K 01-01 00:00:00.000 I KERNEL                                       : Dentry cache hash table entries: 131072 (order: 7, 524288 bytes)
K 01-01 00:00:00.000 I KERNEL                                       : Inode-cache hash table entries: 65536 (order: 6, 262144 bytes)
K 01-01 00:00:00.000 I KERNEL                                       : Memory: 650MB = 650MB total
K 01-01 00:00:00.000 N KERNEL                                       : Memory: 641300k/641300k available, 407276k reserved, 0K highmem
K 01-01 00:00:00.000 N KERNEL                                       : Virtual kernel memory layout:
K 01-01 00:00:00.000 N KERNEL                                       :     vector  : 0xffff0000 - 0xffff1000   (   4 kB)
K 01-01 00:00:00.000 N KERNEL                                       :     fixmap  : 0xfff00000 - 0xfffe0000   ( 896 kB)
K 01-01 00:00:00.000 N KERNEL                                       :     vmalloc : 0xc0800000 - 0xff000000   (1000 MB)
K 01-01 00:00:00.000 N KERNEL                                       :     lowmem  : 0x80000000 - 0xc0000000   (1024 MB)
K 01-01 00:00:00.000 N KERNEL                                       :     modules : 0x7f000000 - 0x80000000   (  16 MB)
K 01-01 00:00:00.000 N KERNEL                                       :       .text : 0x80008000 - 0x80858b5c   (8515 kB)
K 01-01 00:00:00.000 N KERNEL                                       :       .init : 0x80859000 - 0x80891f80   ( 228 kB)
K 01-01 00:00:00.000 N KERNEL                                       :       .data : 0x80892000 - 0x80911160   ( 509 kB)
K 01-01 00:00:00.000 N KERNEL                                       :        .bss : 0x80911184 - 0x80ec8988   (5855 kB)
K 01-01 00:00:00.000 I KERNEL                                       : Preemptible hierarchical RCU implementation.
K 01-01 00:00:00.000 I KERNEL                                       : 	Additional per-CPU info printed with stalls.
K 01-01 00:00:00.000 I KERNEL                                       : NR_IRQS:202
K 01-01 00:00:00.000 D KERNEL                                       : p7: IRQ setup
K 01-01 00:00:00.000 D KERNEL                                       : p7: found Parrot7 chip v3 [0x50373032]
K 01-01 00:00:00.000 D KERNEL                                       : p7: tick setup
K 01-01 00:00:00.000 I KERNEL                                       : sched_clock: 32 bits at 97MHz, resolution 10ns, wraps every 44050ms
K 01-01 00:00:00.000 I KERNEL                                       : Console: colour dummy device 80x30
K 01-01 00:00:00.000 W KERNEL                                       : Lock dependency validator: Copyright (c) 2006 Red Hat, Inc., Ingo Molnar
K 01-01 00:00:00.000 W KERNEL                                       : ... MAX_LOCKDEP_SUBCLASSES:  8
K 01-01 00:00:00.000 W KERNEL                                       : ... MAX_LOCK_DEPTH:          48
K 01-01 00:00:00.000 W KERNEL                                       : ... MAX_LOCKDEP_KEYS:        8191
K 01-01 00:00:00.000 W KERNEL                                       : ... CLASSHASH_SIZE:          4096
K 01-01 00:00:00.000 W KERNEL                                       : ... MAX_LOCKDEP_ENTRIES:     16384
K 01-01 00:00:00.000 W KERNEL                                       : ... MAX_LOCKDEP_CHAINS:      32768
K 01-01 00:00:00.000 W KERNEL                                       : ... CHAINHASH_SIZE:          16384
K 01-01 00:00:00.000 W KERNEL                                       :  memory used by lock dependency info: 3679 kB
K 01-01 00:00:00.000 W KERNEL                                       :  per task-struct memory footprint: 1152 bytes
K 01-01 00:00:00.150 I KERNEL                                       : Calibrating delay using timer specific routine.. 1564.60 BogoMIPS (lpj=7823003)
K 01-01 00:00:00.150 I KERNEL                                       : pid_max: default: 32768 minimum: 301
K 01-01 00:00:00.152 I KERNEL                                       : Mount-cache hash table entries: 512
K 01-01 00:00:00.157 I KERNEL                                       : Initializing cgroup subsys debug
K 01-01 00:00:00.157 I KERNEL                                       : Initializing cgroup subsys cpuacct
K 01-01 00:00:00.157 I KERNEL                                       : Initializing cgroup subsys freezer
K 01-01 00:00:00.158 I KERNEL                                       : CPU: Testing write buffer coherency: ok
K 01-01 00:00:00.160 I KERNEL                                       : CPU0: thread -1, cpu 0, socket 0, mpidr 80000000
K 01-01 00:00:00.160 I KERNEL                                       : hw perfevents: enabled with ARMv7 Cortex-A9 PMU driver, 7 counters available
K 01-01 00:00:00.161 I KERNEL                                       : Setting up static identity map for 0x805fbdc8 - 0x805fbe20
K 01-01 00:00:00.161 D KERNEL                                       : p7: powering built-in self test off
K 01-01 00:00:00.161 D KERNEL                                       : p7: setting L2C latencies to tag=00000020 data=00000020.
K 01-01 00:00:00.161 I KERNEL                                       : L310 cache controller enabled
K 01-01 00:00:00.161 I KERNEL                                       : l2x0: 16 ways, CACHE_ID 0x410004c5, AUX_CTRL 0x72450801, Cache size: 524288 B
K 01-01 00:00:00.261 W KERNEL                                       : CPU1: Booted secondary processor
K 01-01 00:00:00.410 I KERNEL                                       : CPU1: thread -1, cpu 1, socket 0, mpidr 80000001
K 01-01 00:00:00.411 I KERNEL                                       : Brought up 2 CPUs
K 01-01 00:00:00.411 I KERNEL                                       : SMP: Total of 2 processors activated (3124.67 BogoMIPS).
K 01-01 00:00:00.413 I KERNEL                                       : devtmpfs: initialized
K 01-01 00:00:00.440 I KERNEL                                       : pinctrl core: initialized pinctrl subsystem
K 01-01 00:00:00.442 I KERNEL                                       : dummy: 
